,alter_j,alter_k,relationship
0.0,0,1,Sí
1.0,0,2,Sí
2.0,0,3,Sí
3.0,0,4,Quizás
4.0,0,5,Quizás
5.0,0,6,Quizás
6.0,0,7,No
7.0,0,8,No
8.0,0,9,No
9.0,0,10,Sí
10.0,0,11,Sí
11.0,0,12,Sí
12.0,0,13,Sí
13.0,0,14,No
14.0,0,15,No
15.0,0,16,No
16.0,0,17,No
17.0,0,18,Sí
18.0,0,19,No
19.0,0,20,No
20.0,0,21,No
21.0,0,22,No
22.0,0,23,No
23.0,0,24,No
24.0,0,25,No
25.0,0,26,No
26.0,0,27,Quizás
27.0,0,28,No
28.0,0,29,Sí
29.0,1,2,Sí
30.0,1,3,Sí
31.0,1,4,Sí
32.0,1,5,Sí
33.0,1,6,Sí
34.0,1,7,No
35.0,1,8,No
36.0,1,9,No
37.0,1,10,Sí
38.0,1,11,Sí
39.0,1,12,Sí
40.0,1,13,Quizás
41.0,1,14,No
42.0,1,15,No
43.0,1,16,No
44.0,1,17,No
45.0,1,18,Quizás
46.0,1,19,Quizás
47.0,1,20,Quizás
48.0,1,21,Sí
49.0,1,22,Sí
50.0,1,23,Sí
51.0,1,24,Sí
52.0,1,25,Sí
53.0,1,26,Sí
54.0,1,27,No
55.0,1,28,No
56.0,1,29,No
57.0,2,3,Sí
58.0,2,4,Sí
59.0,2,5,Sí
60.0,2,6,Sí
61.0,2,7,Quizás
62.0,2,8,Sí
63.0,2,9,No
64.0,2,10,Sí
65.0,2,11,Sí
66.0,2,12,Sí
67.0,2,13,Quizás
68.0,2,14,Quizás
69.0,2,15,No
70.0,2,16,Quizás
71.0,2,17,No
72.0,2,18,Quizás
73.0,2,19,Sí
74.0,2,20,Sí
75.0,2,21,Sí
76.0,2,22,Sí
77.0,2,23,Sí
78.0,2,24,Sí
79.0,2,25,Sí
80.0,2,26,Sí
81.0,2,27,Quizás
82.0,2,28,No
83.0,2,29,Quizás
84.0,3,4,Quizás
85.0,3,5,Quizás
86.0,3,6,Quizás
87.0,3,7,Quizás
88.0,3,8,No
89.0,3,9,No
90.0,3,10,Sí
91.0,3,11,Sí
92.0,3,12,Sí
93.0,3,13,Quizás
94.0,3,14,No
95.0,3,15,No
96.0,3,16,No
97.0,3,17,No
98.0,3,18,Quizás
99.0,3,19,Quizás
100.0,3,20,Quizás
101.0,3,21,Sí
102.0,3,22,Sí
103.0,3,23,Sí
104.0,3,24,Sí
105.0,3,25,Sí
106.0,3,26,Sí
107.0,3,27,No
108.0,3,28,No
109.0,3,29,No
110.0,4,5,Sí
111.0,4,6,Sí
112.0,4,7,Sí
113.0,4,8,No
114.0,4,9,No
115.0,4,10,No
116.0,4,11,Quizás
117.0,4,12,Quizás
118.0,4,13,Quizás
119.0,4,14,Sí
120.0,4,15,Sí
121.0,4,16,Sí
122.0,4,17,Sí
123.0,4,18,No
124.0,4,19,No
125.0,4,20,No
126.0,4,21,No
127.0,4,22,No
128.0,4,23,No
129.0,4,24,No
130.0,4,25,No
131.0,4,26,No
132.0,4,27,No
133.0,4,28,No
134.0,4,29,No
135.0,5,6,Sí
136.0,5,7,Sí
137.0,5,8,Quizás
138.0,5,9,Quizás
139.0,5,10,No
140.0,5,11,Quizás
141.0,5,12,Quizás
142.0,5,13,Quizás
143.0,5,14,Sí
144.0,5,15,Sí
145.0,5,16,Sí
146.0,5,17,Sí
147.0,5,18,Quizás
148.0,5,19,Sí
149.0,5,20,Quizás
