,Gender,Age,Residency,SurveyTime
0,Mujer,20,Madrid,2043
1,Mujer,27,Madrid,2166
2,Mujer,25,Madrid ,1472
3,Hombre,19,Madrid ,2257
4,Hombre,23,Madrid,1290
5,Mujer,27,Madrid,2131
6,Hombre,46,Parla,2881
7,Mujer,24,Madrid,3022
8,Mujer,24,Madrid,3306
9,Hombre,27,Madrid,3200
10,Hombre,25,Madrid,2386
11,Mujer,28,Madrid,3774
12,Prefiero no responder,25,Getafe,1933
13,Mujer,24,Madrid,2014
14,Mujer,24,Madrid,2704
15,Hombre,28,Madrid,2948
16,Mujer,23,alemania,2374
17,Hombre,22,Madrid,1714
18,Hombre,23,Madrid,3864
19,Mujer,27,Getafe,2455
20,Hombre,54,Madrid ,3373
21,Mujer,22,Getafe,1898
22,Mujer,21,Madrid,1596
23,Mujer,22,Madrid,1837
24,Hombre,35,Boadilla del Monte,2645
25,Hombre,25,España,1741
26,Hombre,21,Cádiz,2274
27,Otro,24,Palma de Mallorca ,2086
28,Mujer,24,Algeciras,7958
29,Mujer,32,Madrid,2516
30,Mujer,23,Madrid,1947
31,Hombre,21,Madrid,1701
32,Hombre,26,VALENCIA,1628
33,Hombre,22,Aranjuez,2110
34,Hombre,22,madrid,2059
35,Mujer,26,Madrid,9307
36,Mujer,23,Madrid,2369
37,Hombre,22,Leganés,7213
38,Mujer,19,Madrid,1838
39,Hombre,22,Madrid,2474
40,Hombre,23,Cádiz,2253
41,Mujer,21,León,1659
42,Mujer,33,Sevilla ,1821
43,Mujer,24,Madrid ,12037
44,Mujer,23,Madrid,7057
45,Mujer,31,PALENCIA,1351
46,Mujer,20,Madrid,2310
47,Mujer,22,Madrid,2437
48,Hombre,26,Alicante,3149
49,Mujer,32,"Las Rozas, Madrid",4107
50,Mujer,25,España,1508
51,Mujer,27,Madrid,2444
52,Mujer,20,Córdoba ,1466
53,Mujer,44,Madrid,2994
54,Mujer,22,Valencia,1875
55,Mujer,24,España,1883
56,Mujer,23,Santa Cruz de La Palma ,22890
57,Mujer,21,Madrid,2567
58,Mujer,34,Alcorcón ,2233
59,Hombre,24,Madrid,1623
60,Mujer,19,Madrid,2085
61,Mujer,42,Colombia,2448
62,Mujer,56,España,2188
63,Hombre,23,Madrid,2419
64,Hombre,28,Madrid,2352
65,Mujer,57,Caracas,2973
66,Hombre,41,Madrid ,1983
67,Mujer,23,Madrid,3619
68,Hombre,56,MADRID,3895
69,Hombre,36,"Toulouse, Francia",2574
70,Mujer,37,Málaga,2146
71,Hombre,49,Madrid,2098
72,Hombre,42,Sevilla,2595
73,Hombre,25,Madrid ,7109
74,Hombre,30,Madrid,2045
75,Mujer,24,España,2699
76,Hombre,54,Santiago de Compostela ,2373
77,Mujer,27,Madrid ,3469
78,Mujer,24,Madrid,3824
79,Hombre,23,Madrid,8391
80,Mujer,58,Argentina,4509
81,Hombre,23,Madrid,1826
82,Hombre,25,Madrid,86326
83,Mujer,24,Madrid,2152
84,Mujer,31,Madrid,3074
85,Mujer,22,MADRID,4842
86,Mujer,29,Madrid,2646
87,Hombre,27,Valencia,1766
88,Hombre,30,Madrid,1545
89,Mujer,32,Las Palmas ,2199
90,Hombre,25,Fuenlabrada,1627
91,Mujer,54,Madrid,9258
92,Hombre,24,Madrid,2938
93,Hombre,25,Madrid,1890
94,Mujer,22,Madrid,1745
95,Mujer,53,Madrid,1875
96,Hombre,31,Malaga,1556
97,Mujer,51,Asturias,3255
98,Hombre,22,Madrid,3113
99,Mujer,33,Sevilla,3847
100,Mujer,22,Madrid,2035
101,Mujer,26,Valdemoro,3199
102,Mujer,23,Fuenlabrada ,2718
103,Hombre,61,Linares,3697
104,Mujer,24,Madrid,4561
