,Gender,Age,Residency,EmotionalProximity,Context
0,Mujer,24,Madrid,5,Otro
1,Mujer,56,Majadahonda,4,Familia
2,Hombre,58,Majadahonda ,4,Familia
3,Hombre,22,Majadahonda ,5,Familia
4,Hombre,23,Paracuellos,2,Estudios Superiores
5,Hombre,23,Leganes ,3,Estudios Superiores
6,Mujer,23,Colmenar,2,Estudios Superiores
7,Hombre,23,Madrid,2,Estudios Superiores
8,Hombre,23,Getafe,1,Estudios Superiores
9,Hombre,25,Majadahonda,4,Estudios de Primaria/Secundaria
10,Hombre,25,Pozuelo,3,A través de otra persona
11,Hombre,25,Boadilla,4,A través de otra persona
12,Hombre,24,Majadahonda ,3,A través de otra persona
13,Hombre,25,Madrid ,1,A través de otra persona
14,Hombre,24,Boadilla ,1,A través de otra persona
15,Hombre,25,Boadilla ,4,A través de otra persona
16,Hombre,25,Galapagar,2,Estudios de Primaria/Secundaria
17,Hombre,25,Brunete ,4,Estudios de Primaria/Secundaria
18,Mujer,24,Brunete,2,A través de otra persona
19,Mujer,27,Boadilla,3,Aficiones comunes
20,Hombre,24,Majadahonda ,2,Vecino/a
21,Hombre,24,Madrid,3,A través de otra persona
22,Hombre,24,Madrid,3,A través de otra persona
23,Mujer,24,Tres cantos,3,A través de otra persona
24,Mujer,24,Fuenlabrada,3,A través de otra persona
25,Mujer,24,Sanchinarro,3,A través de otra persona
26,Hombre,23,Boadilla,4,Estudios de Primaria/Secundaria
27,Hombre,24,Boadilla ,2,Estudios de Primaria/Secundaria
28,Hombre,24,Villaviciosa ,3,Estudios de Primaria/Secundaria
29,Hombre,23,Boadilla ,4,Estudios de Primaria/Secundaria
30,Hombre,24,Boadilla ,4,Estudios de Primaria/Secundaria
31,Hombre,23,Boadilla ,3,Estudios de Primaria/Secundaria
32,Hombre,24,Boadilla,4,A través de otra persona
33,,,,,
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
