,Gender,Age,Residency,EmotionalProximity,Context
0,Mujer,28.0,Barcelona,5.0,Estudios Superiores
1,Mujer,24.0,Barcelona,4.0,Estudios Superiores
2,Mujer,27.0,Barcelona,4.0,Estudios Superiores
3,Mujer,22.0,Barcelona,3.0,Estudios Superiores
4,Hombre,31.0,Barcelona,2.0,A través de otra persona
5,Hombre,30.0,Barcelona,3.0,A través de otra persona
6,Hombre,38.0,Sevilla,4.0,Estudios Superiores
7,Hombre,28.0,Barcelona,3.0,Estudios de Primaria/Secundaria
8,Hombre,32.0,Sevilla,3.0,A través de otra persona
9,Hombre,36.0,Sevilla,4.0,A través de otra persona
10,Hombre,26.0,Barcelona,2.0,Estudios Superiores
11,Mujer,29.0,Granada,4.0,Otro
12,Hombre,27.0,Ciudad Real,4.0,Otro
13,Hombre,30.0,Sevilla,3.0,Estudios de Primaria/Secundaria
14,Mujer,27.0,Londres,5.0,Estudios de Primaria/Secundaria
15,Mujer,31.0,Barcelona,4.0,Estudios Superiores
16,Hombre,27.0,Irlanda,4.0,Otro
17,Hombre,27.0,Sevilla,3.0,Estudios de Primaria/Secundaria
18,Hombre,31.0,Barcelona,3.0,Estudios Superiores
19,Hombre,28.0,Barcelona,2.0,Estudios Superiores
20,Mujer,28.0,Barcelona,3.0,Estudios de Primaria/Secundaria
21,Mujer,29.0,Barcelona,2.0,A través de otra persona
22,Mujer,28.0,Sevilla,3.0,Vecino/a
23,Mujer,27.0,Tanger,4.0,A través de otra persona
24,Mujer,22.0,Sevilla,1.0,Otro
25,Mujer,23.0,Sevilla,2.0,A través de otra persona
26,Hombre,28.0,Sevilla,3.0,Otro
27,Mujer,33.0,Estocolmo,4.0,A través de otra persona
28,,,,,
29,,,,,
30,,,,,
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
