,Gender,Age,Residency,SurveyTime
0,Hombre,22,Madrid,375
1,Mujer,26,Madrid,512
2,Hombre,48,Madrid,645
3,Mujer,24,Madrid,823
4,Mujer,34,Madrid,1216
5,Mujer,21,Madrid,1590
6,Hombre,36,Germany,1523
7,Hombre,22,Madrid,2050
8,Mujer,22,Tenerife,552
9,Mujer,67,Córdoba,1668
10,Mujer,27,León ,2406
11,Mujer,25,MADRID,471
12,Mujer,52,Argentina,906
13,Mujer,24,Madrid,2410
14,Hombre,22,Madrid ,1282
15,Hombre,29,Madrid,3270
16,Hombre,28,Madrid,3390
17,Mujer,26,Madrid,1485
18,Mujer,32,Madrid,2381
19,Hombre,54,Madrid,289
20,Mujer,18,Madrid,2488
21,Mujer,23,madrid,2916
22,Mujer,34,Madrid,2204
23,Mujer,24,"Rivas Vaciamadrid, Madrid",2467
24,Hombre,22,ILLESCAS TOLEDO ESPAÑA,915
25,Hombre,22,Madrid,236
26,Mujer,47,Valladolid,3343
27,Otro,24,Madrid,561
28,Mujer,23,Madrid,3550
29,Hombre,24,Getafe,4148
30,Hombre,46,Madrid ,1717
31,Mujer,45,Sevilla ,435
32,Mujer,26,Toledo,541
33,Mujer,22,Madrid,498
34,Hombre,24,"Madrid, Majadahonda ",2688
35,Hombre,23,Valencia,3181
36,Mujer,18,Arganda del Rey,1203
37,Hombre,30,Madrid,619
38,Mujer,28,Madrid,1424
39,Mujer,21,Madrid,507
40,Mujer,28,Madrid,835
41,Mujer,33,A Coruña ,1103
42,Mujer,25,Madrid,2388
43,Mujer,24,Getafe,5153
44,Mujer,35,Madrid ,313
45,Hombre,34,Latam,595
46,Mujer,19,Madrid,7968
47,Mujer,21,Madrid ,2380
48,Mujer,22,Melilla ,5544
49,Hombre,44,Madrid ,524
50,Mujer,44,Fuente Palmera ,598
51,Mujer,21,Rivas Vaciamadrid,9872
52,Mujer,25,Mérida,560
53,Mujer,26,Madrid,430
54,Mujer,35,MONTILLA,758
55,Mujer,26,Málaga ,3302
56,Hombre,23,madrid,2665
57,Mujer,32,La solana ,1431
58,Mujer,25,Madrid,476
59,Mujer,37,San Agustin,968
60,Mujer,55,Colonia Tovar,658
61,Mujer,21,Barcelona,124
62,Mujer,19,Getafe,1000
63,Mujer,20,"España, Madrid",740
64,Hombre,27,Madrid,114
65,Mujer,67,Las Gabias ,2295
66,Mujer,22,Toledo,734
67,Mujer,20,Madrid ,343
68,Mujer,42,"Bogotá, Colombia ",5197
69,Mujer,41,sevilla,2416
70,Mujer,28,Barcelona,1823
71,Mujer,58,PORCUNA,785
72,Mujer,63,Extremadura,7582
73,Mujer,25,Madrid,30723
74,Mujer,31,Valencia,835
75,Hombre,43,Madrid,384
76,Hombre,34,Cracovia,984
77,Mujer,43,Lugones ,183
78,Prefiero no responder,29,Alcaudete de la jara ,759
79,Hombre,22,Madrid,571
80,Mujer,22,Argentina ,405
81,Mujer,37,Puente Genil,969
82,Mujer,29,Madrid,657
83,Mujer,37,Madrid,84369
84,Hombre,42,Madrid,1804
85,Hombre,26,Zaragoza,10323
86,Mujer,25,Leganés ,2483
87,Mujer,32,Madrid,870
88,Hombre,39,Calanda,44775
89,Hombre,24,"Madrid, España",1929
90,Mujer,21,Malaga,127740
91,Mujer,30,Malaga,521
92,Hombre,33,Madrid,1455
93,Mujer,29,Ávila,3722
94,Mujer,22,Madrid,1373
95,Hombre,23,Madrid ,854
96,Mujer,55,Bilbao ,821
97,Mujer,25,Madrid,188319
