,alter_j,alter_k,relationship
0,0,1,Sí
1,0,2,Sí
2,0,3,No
3,0,4,Quizás
4,0,5,No
5,0,6,No
6,0,7,No
7,0,8,Quizás
8,0,9,Quizás
9,0,10,Quizás
10,0,11,Sí
11,0,12,Quizás
12,0,13,Quizás
13,0,14,Quizás
14,0,15,Quizás
15,0,16,No
16,0,17,No
17,0,18,No
18,0,19,No
19,0,20,
20,0,21,
21,0,22,
22,0,23,
23,0,24,
24,0,25,
25,0,26,
26,0,27,
27,0,28,
28,0,29,
29,0,30,
30,0,31,
31,0,32,
32,0,33,
33,0,34,
34,0,35,
35,0,36,
36,0,37,
37,0,38,
38,0,39,
39,0,40,
40,0,41,
41,0,42,
42,0,43,
43,0,44,
44,1,2,Sí
45,1,3,No
46,1,4,Sí
47,1,5,Quizás
48,1,6,No
49,1,7,No
50,1,8,Quizás
51,1,9,Sí
52,1,10,Quizás
53,1,11,Sí
54,1,12,Quizás
55,1,13,Quizás
56,1,14,Quizás
57,1,15,Quizás
58,1,16,No
59,1,17,No
60,1,18,Quizás
61,1,19,No
62,1,20,
63,1,21,
64,1,22,
65,1,23,
66,1,24,
67,1,25,
68,1,26,
69,1,27,
70,1,28,
71,1,29,
72,1,30,
73,1,31,
74,1,32,
75,1,33,
76,1,34,
77,1,35,
78,1,36,
79,1,37,
80,1,38,
81,1,39,
82,1,40,
83,1,41,
84,1,42,
85,1,43,
86,1,44,
87,1,0,
88,2,3,No
89,2,4,Quizás
90,2,5,No
91,2,6,No
92,2,7,No
93,2,8,Quizás
94,2,9,Quizás
95,2,10,Quizás
96,2,11,Sí
97,2,12,Quizás
98,2,13,Quizás
99,2,14,Quizás
100,2,15,No
101,2,16,No
102,2,17,No
103,2,18,No
104,2,19,No
105,2,20,
106,2,21,
107,2,22,
108,2,23,
109,2,24,
110,2,25,
111,2,26,
112,2,27,
113,2,28,
114,2,29,
115,2,30,
116,2,31,
117,2,32,
118,2,33,
119,2,34,
120,2,35,
121,2,36,
122,2,37,
123,2,38,
124,2,39,
125,2,40,
126,2,41,
127,2,42,
128,2,43,
129,2,44,
130,2,0,
131,2,1,
132,3,4,Quizás
133,3,5,No
134,3,6,Sí
135,3,7,No
136,3,8,No
137,3,9,No
138,3,10,No
139,3,11,No
140,3,12,No
141,3,13,No
142,3,14,No
143,3,15,No
144,3,16,No
145,3,17,No
146,3,18,No
147,3,19,No
148,3,20,
149,3,21,
150,3,22,
151,3,23,
152,3,24,
153,3,25,
154,3,26,
155,3,27,
156,3,28,
157,3,29,
158,3,30,
159,3,31,
160,3,32,
161,3,33,
162,3,34,
163,3,35,
164,3,36,
165,3,37,
166,3,38,
167,3,39,
168,3,40,
169,3,41,
170,3,42,
171,3,43,
172,3,44,
173,3,0,
174,3,1,
175,3,2,
176,4,5,Quizás
177,4,6,No
178,4,7,No
179,4,8,Quizás
180,4,9,Sí
181,4,10,Quizás
182,4,11,Quizás
183,4,12,No
184,4,13,Quizás
185,4,14,No
186,4,15,No
187,4,16,No
188,4,17,No
189,4,18,No
190,4,19,No
191,4,20,
192,4,21,
193,4,22,
194,4,23,
195,4,24,
196,4,25,
197,4,26,
198,4,27,
199,4,28,
200,4,29,
201,4,30,
202,4,31,
203,4,32,
204,4,33,
205,4,34,
206,4,35,
207,4,36,
208,4,37,
209,4,38,
210,4,39,
211,4,40,
212,4,41,
213,4,42,
214,4,43,
215,4,44,
216,4,0,
217,4,1,
218,4,2,
219,4,3,
220,5,6,No
221,5,7,No
222,5,8,Quizás
223,5,9,No
224,5,10,Quizás
225,5,11,No
226,5,12,No
227,5,13,Quizás
228,5,14,No
229,5,15,No
230,5,16,No
231,5,17,No
232,5,18,No
233,5,19,No
234,5,20,
235,5,21,
236,5,22,
237,5,23,
238,5,24,
239,5,25,
240,5,26,
241,5,27,
242,5,28,
243,5,29,
244,5,30,
245,5,31,
246,5,32,
247,5,33,
248,5,34,
249,5,35,
250,5,36,
251,5,37,
252,5,38,
253,5,39,
254,5,40,
255,5,41,
256,5,42,
257,5,43,
258,5,44,
259,5,0,
260,5,1,
261,5,2,
262,5,3,
263,5,4,
264,6,7,No
265,6,8,No
266,6,9,No
267,6,10,No
268,6,11,No
269,6,12,No
270,6,13,No
271,6,14,No
272,6,15,No
273,6,16,No
274,6,17,No
275,6,18,No
276,6,19,No
277,6,20,
278,6,21,
279,6,22,
280,6,23,
281,6,24,
282,6,25,
283,6,26,
284,6,27,
285,6,28,
286,6,29,
287,6,30,
288,6,31,
289,6,32,
290,6,33,
291,6,34,
292,6,35,
293,6,36,
294,6,37,
295,6,38,
296,6,39,
297,6,40,
298,6,41,
299,6,42,
300,6,43,
301,6,44,
302,6,0,
303,6,1,
304,6,2,
305,6,3,
306,6,4,
307,6,5,
308,7,8,No
309,7,9,No
310,7,10,No
311,7,11,No
312,7,12,No
313,7,13,No
314,7,14,No
315,7,15,No
316,7,16,No
317,7,17,No
318,7,18,No
319,7,19,No
320,7,20,
