,Gender,Age,Residency,EmotionalProximity,Context
0,Hombre,23,Murcia,4,Familia
1,Mujer,55,Murcia,5,Familia
2,Hombre,55,Murcia,4,Familia
3,Mujer,20,Madrid,5,Estudios Superiores
4,Mujer,20,Madrid,5,Estudios Superiores
5,Hombre,21,Mérida,4,Estudios Superiores
6,Hombre,19,San Sebastián,5,A través de otra persona
7,Hombre,21,Munich,4,Estudios de Primaria/Secundaria
8,Mujer,21,Murcia,5,Estudios de Primaria/Secundaria
9,Mujer,20,Madrid,4,Estudios Superiores
10,Hombre,20,Valencia,5,A través de otra persona
11,Mujer,21,Murcia,5,Estudios de Primaria/Secundaria
12,Hombre,23,Cuenca,3,A través de otra persona
13,Hombre,23,Alicante,3,A través de otra persona
14,Mujer,50,Madrid,2,Otro
15,Mujer,48,Madrid,2,Otro
16,Hombre,31,Madrid,2,Estudios Superiores
17,Mujer,22,Albacete,4,Aficiones comunes
18,Hombre,21,"Lanzarote, Islas Canarias",4,Estudios Superiores
19,Mujer,23,Murcia,2,A través de otra persona
20,Mujer,21,Madrid,3,Aficiones comunes
21,,,,,
22,,,,,
23,,,,,
24,,,,,
25,,,,,
26,,,,,
27,,,,,
28,,,,,
29,,,,,
30,,,,,
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
