,Gender,Age,Residency,EmotionalProximity,Context
0,Mujer,33.0,Olesa de montserrat,5.0,Familia
1,Mujer,29.0,olesa de montserrat,5.0,Familia
2,Hombre,59.0,olesa de montserrat,5.0,A través de otra persona
3,Hombre,83.0,barcelona,5.0,Familia
4,Mujer,79.0,olesa de montserrat,4.0,Familia
5,Mujer,60.0,barcelona,4.0,Estudios de Primaria/Secundaria
6,Hombre,65.0,barcelona,2.0,A través de otra persona
7,Mujer,24.0,olesa de montserrat,4.0,Familia
8,Hombre,63.0,olesa de montserrat,4.0,Familia
9,Mujer,60.0,olesa de montserrat,4.0,Familia
10,Mujer,67.0,olesa de montserrat,4.0,Familia
11,Hombre,67.0,olesa de montserrat,4.0,Familia
12,Mujer,48.0,zaragoza,4.0,Familia
13,Hombre,51.0,zaragoza,4.0,Familia
14,Hombre,55.0,olesa de montserrat,1.0,Vecino/a
15,Mujer,42.0,sant quirze valles,1.0,Vecino/a
16,Mujer,44.0,olesa de montserrat,1.0,A través de otra persona
17,Mujer,41.0,olesa de montserrat,1.0,Vecino/a
18,Mujer,19.0,barcelona,3.0,A través de otra persona
19,Mujer,61.0,esparraguera,3.0,Familia
20,,,,,
21,,,,,
22,,,,,
23,,,,,
24,,,,,
25,,,,,
26,,,,,
27,,,,,
28,,,,,
29,,,,,
30,,,,,
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
