,Gender,Age,Residency,SurveyTime
0,Hombre,23,Brunete,848
1,Mujer,22,Madrid ,1257
2,Mujer,33,Madrid,1442
3,Hombre,26,Madrid,1112
4,Mujer,21,Madrid,1103
5,Hombre,32,Valencia,1044
6,Hombre,26,Madrid,1212
7,Mujer,31,Tejina,1996
8,Mujer,24,Madrid,2144
9,Mujer,21,madrid,779
10,Mujer,25,Madrid,1866
11,Mujer,23,Madrid ,675
12,Mujer,31,Madrid,782
13,Hombre,57,Madrid,1771
14,Mujer,34,Cádiz,2169
15,Hombre,49,Getafe ,1130
16,Hombre,25,"Madrid, España",1259
17,Mujer,30,Valencia,1074
18,Mujer,22,Copenhague ,1205
19,Mujer,25,Madrid,1271
20,Hombre,27,LEGANÉS,2015
21,Otro,39,"Salamanca, España ",2644
22,Mujer,25,Barcelona,916
23,Mujer,24,madrid,3387
24,Mujer,34,Alcorcón,2486
25,Mujer,21,Madrid,1188
26,Mujer,27,Madrid,3245
27,Mujer,25,Madrid,1522
28,Hombre,31,Madrid,5296
29,Hombre,37,Getafe ,2752
30,Mujer,21,"Alcoi, Alicante",1078
31,Mujer,25,Madrid,827
32,Hombre,24,Majadahonda ,1362
33,Mujer,30,Seseña (Toledo),2411
34,Mujer,22,Madrid,1371
35,Mujer,30,Sevilla ,1423
36,Mujer,21,Aranjuez,2281
37,Mujer,25,Madrid,3525
38,Hombre,21,"Madrid, España",1668
39,Mujer,23,Madre,1087
40,Mujer,34,Madrid,2697
41,Mujer,27,Madrid,2116
42,Hombre,38,Alcorcón ,1763
43,Mujer,29,Madrid,1117
44,Hombre,19,alcorcon,771
45,Hombre,27,Madrid,2567
46,Hombre,32,Madrid,1104
47,Mujer,32,madrid,776
48,Hombre,25,toledo,2903
49,Mujer,22,Parla,3540
50,Hombre,28,Madrid,835
51,Hombre,23,Madrid,985
52,Mujer,45,Lugo,1801
53,Hombre,42,Málaga ,1364
54,Mujer,39,GRANADA,2782
55,Mujer,55,Madrid ,1522
56,Hombre,35,Colombia,2529
57,Hombre,27,Toledo,767
58,Mujer,23,Malaga,1691
59,Mujer,58,Olesa de Montserrat,3852
60,Mujer,26,Salamanca,1192
61,Mujer,49,Burgos ,2559
62,Hombre,22,Madrid,1207
63,Hombre,36,Valencia ,1786
64,Mujer,42,Madrid,2218
65,Hombre,31,Huelva,1905
66,Hombre,34,Oviedo,1335
67,Hombre,33,Valencia ,1370
68,Hombre,43,Málaga,1220
69,Mujer,24,Madrid ,931
70,Mujer,34,Los Ángeles de San Rafael ,44376
71,Hombre,51,"Tres Cantos, Madrid, España ",4125
72,Hombre,45,Astorga,2080
73,Hombre,26,Medellín,1185
74,Hombre,29,Madrid,3825
75,Mujer,34,Luxemburgo ,1419
76,Mujer,22,Madrid ,2124
77,Mujer,20,"Madrid, España",3042
78,Mujer,57,Madrid ,4461
79,Mujer,21,Madrid,1358
80,Hombre,29,Madrid,3066
81,Mujer,24,Madrid (España),2893
82,Mujer,22,Madrid,1376
83,Hombre,26,Madrid,1081
84,Mujer,21,"Guadalajara, España",3422
85,Mujer,21,Madrid,6158
86,Hombre,42,Almonte huelva,2383
87,Mujer,21,"Marchamalo, España",4642
88,Hombre,57,Valencia,58412
89,Hombre,35,Valencia - Venezuela,2141
90,Hombre,50,Sevilla ,1884
91,Mujer,67,MADRID,1757
92,Mujer,24,Madrid ,2634
93,Mujer,31,Alicante ,1425
94,Mujer,20,"Madrid, España",2045
